"Title","Abstract","Keywords","Authors","Journal","DOI","URL"
"A11","An improved delamination fatigue cohesive interface model for complex three-dimensional multi-interface cases","This work presents a cohesive interface model for predicting interlaminar failure of composite laminates under tension-tension fatigue loading. The model features improvements on previous formulations and utilizes four-integration-point elements, which offer several new advantages, while maintaining the merits of the previous single-integration-point elements. An element-based crack tip tracking algorithm is incorporated to confine fatigue damage to crack-tip elements only. A new local rate approach is proposed to ensure accurate integration of strain energy release rate from local elements. Furthermore, a dynamic fatigue characteristic length is proposed to offer a more accurate estimation of fatigue characteristic length in complex three-dimensional cases. Fatigue initiation is incorporated by using a strength reduction method, without changing the propagation characteristics. The numerical approach has been verified and validated using multiple cases and was then applied to fatigue damage development in open-hole laminates, where a good agreement between numerical analysis and experimental results was obtained.","A. Laminates,B. Fatigue,C. Cohesive interface modelling,C. Finite element analysis (FEA)","ChongcongTaoab,SupratikMukhopadhyayb,BingZhangb,Luiz F.Kawashitab,JinhaoQiua,Stephen R.Hallettb","Composites Part A: Applied Science and Manufacturing","https://doi.org/10.1016/j.compositesa.2018.02.008","https://www.sciencedirect.com/science/article/pii/S1359835X18300496"
"A12","Effects of elevated loading rates on mode I fracture of composite laminates using a modified wedge-insert fracture method","In this paper, experimental results for rate dependence of interlaminar mode I fracture of a polymer matrix composite laminate are presented. A modified wedge-insert fracture (MWIF) method for conducting mode I fracture testing at elevated loading rates is used. A correction factor has been introduced to the modified beam theory method for measuring the mode I interlaminar fracture toughness using the MWIF method. The experimental method was successfully verified against the most widely used standardized method at quasi-static loading rates. Mode I interlaminar fracture testing was conducted at loading rates ranging from 0.01<U+202F>mm/s to 3600<U+202F>mm/s. A reduction in fracture toughness with rate was seen. The fracture behavior at elevated rates differed from the lower rates. The effect of bridging (and process zone) lengths on the fracture toughness were seen decreasing drastically with increased loading rate.","Mode I interlaminar fracture,Delamination,Wedge-insert fracture,Rate dependence,Elevated-rates","Solver I.Thorssona,Anthony M.Waasb,JosephSchaeferc,BrianJustussonc,SalvatoreLiguorec","Composites Science and Technology","https://doi.org/10.1016/j.compscitech.2017.12.018","https://www.sciencedirect.com/science/article/pii/S026635381731182X"
"A13","4: Design, analysis, and durability of composite repairs","Initially, the parameters influencing the mechanical performance and environmental durability of the adhesively bonded repairs are discussed in this chapter. As bolted or hybrid bolted/bonded repairs are still largely employed as repair technique in primary composite structures, mechanics of mechanically fastened repairs are also discussed in this chapter. Afterward, the damage modes and damage prediction under static and dynamic loads are discussed. Then, the influences of environmental conditions (i.e., temperature and moisture) on residual strength and damage modes and nondestructive inspection methods for detecting the damage modes in the repairs are discussed. Lastly, the complex problems of the certification of repairs in composite structures are discussed. Subsequent to explaining processes presently employed to verify new structure, recommendations for satisfactory certification of repairs are discussed.","Adhesively bonded repair,Joints,Failure modes,Stress analysis,ASTM test standards,Environmental conditions,Acoustic emission (AE) monitoring,Digital image correlation (DIC)","Andrew J.Jefferson,VellayarajArumugam,Hom NathDhakal","Repair of Polymer Composites,Repair of Polymer Composites","https://doi.org/10.1016/B978-0-08-102263-4.00004-1","https://www.sciencedirect.com/science/article/pii/B9780081022634000041"
"A14","Index","","","","Comprehensive Composite Materials II","https://doi.org/10.1016/B978-0-08-100533-0.09001-1","https://www.sciencedirect.com/science/article/pii/B9780081005330090011"
"A15","Practical and theoretical considerations on the fracture toughness testing of dental restorative materials","BackgroundAn important tool in materials research, development and characterization regarding mechanical performance is the testing of fracture toughness. A high level of accuracy in executing this sort of test is necessary, with strict requirements given in extensive testing standard documents. Proficiency in quality specimen fabrication and test requires practice and a solid theoretical background, oftentimes overlooked in the dental community. Aims: In this review we go through some fundamentals of the fracture mechanics concepts that are relevant to the understanding of fracture toughness testing, and draw attention to critical aspects of practical nature that must be fulfilled for validity and accuracy in results. We describe our experience with some testing methodologies for CAD/CAM materials and discuss advantages and shortcomings of different tests in terms of errors in testing the applicability of the concept of fracture toughness as a single-value material-specific property.","Fracture toughness,Mechanical testing,Resin composite,Dental ceramic,Zirconia,R-curve","RenanBellia,MichaelWendlerab,José I.Zorzina,UlrichLohbauera","Dental Materials","https://doi.org/10.1016/j.dental.2017.11.016","https://www.sciencedirect.com/science/article/pii/S0109564117311727"
"A16","Phase field based peridynamics damage model for delamination of composite structures","We extend and exploit a phase field based peridynamics (PD) damage model ([39]) for studying delamination of composite structures. Utilizing a phase field augmented PD framework, our idea is to model the interfacial cohesive damage through degradation functions and the fracture or fragmentation through the critical energy release rate. Our model eliminates the conventional traction-separation law (TSL) that is known to result in the popular cohesive zone model (CZM). In the process, the approach potentially addresses some limitations of the existing techniques, for example, CZM, virtual crack closure technique (VCCT) and so on, which make use of an empirical interaction among different modes of loading (e.g., mode I, mode II etc.). By regarding delamination under different loading conditions as problems that differ only in their boundary conditions, our approach provides for a more general scheme for tracking delamination growth. Our proposal thus accords no special treatment to the different modes and can handle general spatial locations of weaker interface layers. With no special crack tracking algorithms or additional ad-hoc criteria for crack propagation, considerable computational simplicity also accrues. The approach admits an easy extension to cases where cracks can propagate even in the bulk material body. The new bond breaking criterion that we employ replaces the ad-hoc approach inherent in bond-stretch-based or bond-energy-based conditions. Unlike standard phase field models, physical fragmentation of the body is feasible in the present model. The proposed methodology also eliminates the problem of matter interpenetration by its very construction. Apart from an initial validation exercise for a laminated composite plate with a hole where no or little damage occurs, we also use numerical simulations on mode I, mode II, and mixed mode delamination cases in order to assess the performance of our model by benchmarking it against available experimental evidence. Simulations on modified mixed mode bending and multiple layer delamination are also presented.","Phase field,Peridynamics,Delamination,Mixed mode,Multiple-layer delamination","PraneshRoya,S.P.Deepua,AnilPathrikara,DebasishRoya,J.N.Reddyb","Composite Structures","https://doi.org/10.1016/j.compstruct.2017.08.071","https://www.sciencedirect.com/science/article/pii/S026382231731601X"
"A17","Validation of pure tensile and shear cohesive laws obtained by the direct method with single-lap joints","Joining with structural adhesives in the aeronautical industry dates back to some decades, although only more recently this technique has been implemented to load bearing parts in other industries. This technique enables joining steel with aluminium or fibre-reinforced composites, with a major weight advantage. Cohesive Zone Models (CZM) are an accurate design method for bonded structures but, depending on the adhesive type and specimen's geometry, the accuracy of the strength predictions may be highly compromised by the choice of the cohesive laws. This work presents a validation of tensile and shear CZM laws of three adhesives obtained by the direct method applied to Double-Cantilever Beam (DCB) and End-Notched Flexure (ENF) tests, respectively. The validation is carried out by considering a mixed-mode bonded geometry (the single-lap joint) with different overlap lengths (LO) and adhesives of distinct ductility. Initially, the precise shape of the cohesive law in tension and shear of the adhesives is estimated, followed by their simplification to parameterized triangular, trapezoidal and linear-exponential CZM laws. Validation of the CZM laws was accomplished by direct comparison of the load-displacement (P-d) curves and maximum load (Pm) of the single-lap joints as a function of the tested LO values. The strength predictions were accurate for a CZM law shape consistent with the adhesive type, although the differences between CZM shapes were not too significant.","A. Epoxides,A. Polyurethanes,B. Aluminium and alloys,D. Cohesive zone model,J-integral","U.T.F.Carvalhoa,R.D.S.G.Campilhoab","International Journal of Adhesion and Adhesives","https://doi.org/10.1016/j.ijadhadh.2017.04.002","https://www.sciencedirect.com/science/article/pii/S0143749617300829"
"A18","A fatigue crack propagation model with resistance curve effects for an epoxy/copper interface","Fatigue crack propagation for copper/epoxy molding compound interfaces is modeled in this work by conducting cyclic loading on double cantilever beam test specimens. The continued increase in mechanical compliance of test specimens as the crack propagates through hundreds of cycles is used to determine the crack length and thus, the crack growth rate per cycle which is used to determine the Paris’ law constants as a function of strain energy release rate range. When monotonic debonding testing is conducted, it is seen that the critical strain energy release rate initially increases with the crack length and then stabilizes demonstrating the increasing resistance for the epoxy/copper interface. When such an increasing R-curve is used to normalize the strain energy release rate range, it is observed that the Paris’ law constants can be determined with good consistency for a wide range of specimens over different crack lengths.","Double cantilever beam,Fatigue crack growth,Interface fracture,Compliance method,R-curves","DavidSamet,V.N.N.Trilochan Rambhatla,AbhishekKwatra,Suresh K.Sitaraman","Engineering Fracture Mechanics","https://doi.org/10.1016/j.engfracmech.2017.05.008","https://www.sciencedirect.com/science/article/pii/S0013794417300565"
"A19","7.2 Test Methods for Mechanical Properties","Mechanical testing can be very time-consuming and also very expensive. Thus only as much testing as is necessary to achieve carefully defined objectives should be conducted, and it is important that it be conducted properly, the first time, so that costs are not compounded. The goal of this section is to offer guidelines to aid in achieving carefully planned and properly executed test programs.","Coupon configurations,Mechanical testing,Standard test fixtures,Test standards","Donald F.Adams,Thomas J.Whitney","Comprehensive Composite Materials II","https://doi.org/10.1016/B978-0-12-803581-8.10032-3","https://www.sciencedirect.com/science/article/pii/B9780128035818100323"
"A20","Effect of structural dynamic characteristics on fatigue and damage tolerance of aerospace grade composite materials","In aircraft structural integrity analysis, the damage tolerance and fatigue life is investigated against a cyclic loading spectrum. The particular spectrum includes the stress/loading levels counted during a flight of certain duration. The occurrences of load factors may include higher gravitational acceleration ‘g’ levels. While maintaining a certain g level occurrence at higher angle of attack, wing structure vibrates with the amplitudes of its natural frequencies. The cyclic stress amplitudes of vibration depend upon the natural frequencies of vibrating structure, i.e. lower frequency gives higher amplitudes and vice versa.To improve the dynamic stability, modal parameters of simple carbon fibre sandwich panels have been adjusted by tailoring the fibre orientation angles and stacking sequence. In this way, the effect of change in structural dynamic characteristics on fatigue life of this simplified structure has been demonstrated. The research methodology followed in this work consists of two phases. In the first phase, aero-elastically tailored design was finalized using FEM based modal analysis and unsteady aerodynamic analysis simulations followed by experimental modal analysis. In the second phase, fatigue and damage tolerance behaviour of material was investigated using different fracture mechanics based techniques. ASTM's standard practices were adopted to determine material allowable and fracture properties. Simulation work was performed after proper calibration and correlation of finite element model with experimentally determined static and dynamic behaviour of panels.It has been observed that the applicable cyclic loading spectra, as major input parameter of fatigue analysis, largely depend upon the natural frequencies, damping and the stiffness of the structure. The results and discussions of the whole exercise may be beneficial while carrying out aero-elastic tailoring of composite aircraft wing. This research work has also a positive contribution towards multidisciplinary structural design optimization of aerospace vehicles.","Structural dynamics,Composite materials,Fatigue analysis,Multidisciplinary design optimization","WaqasAnwar,M.Zubair Khan,AsifIsrar,ShahidMehmood,Nazeer A.Anjum","Aerospace Science and Technology","https://doi.org/10.1016/j.ast.2017.01.012","https://www.sciencedirect.com/science/article/pii/S1270963816307738"
"A21","C-AB01-01 to C-AB37-06","","","","Heart Rhythm","https://doi.org/10.1016/j.hrthm.2017.04.004","https://www.sciencedirect.com/science/article/pii/S1547527117304228"
"A22","7.8 Environmental Durability of Polymer Matrix Composites","Lightweight engineered materials are desired for many high-temperature applications in aerospace, power generation, and automotive industries. Recent advances in polymer chemistry have resulted in several resins that are thermally stable at or above 370°C. However, fiber reinforcements are necessary to meet the stiffness, strength, and service-life requirements, along with methods for engineering high-temperature composites that deliver the mechanical performance, toughness, and durability. This chapter describes the fundamental mechanisms, material properties that control the chemical and mechanical degradation and experimental methods that can characterize the durability and service life of engineered composites operating in high-temperature environments. The experimental methods, modeling framework, and methodologies that characterize material properties through appropriate correlation of simulations and experimental measurements are presented. The research described has immediate impact on the service-life prediction and the design of oxidation tolerant material systems.","Accelerated testing,Anisotropy,Coupled chemo-mechanics,Damage,Depth profiling,Diffusivity,Durability,Environmental degradation,Fiber-matrix interphase,Glass transition temperature,Isothermal,Modeling,Modulus,Moisture,Oxidation growth,Physical and chemical aging,Reaction rates,Shrinkage,Strength,Thermal stability,Toughness,Weight loss","Gyaneshwar P.Tandon,KishorePochiraju","Comprehensive Composite Materials II","https://doi.org/10.1016/B978-0-12-803581-8.10044-X","https://www.sciencedirect.com/science/article/pii/B978012803581810044X"
"A23","8.4 Structural Analysis of Composites With Finite Element Codes: An Overview of Commonly Used Computational Methods","Computational methods and simulations have become an essential part of design and analysis of composite materials and structures. Virtual testing of real composite structures can not only reduce physical testing, but also offers cost-effective design flexibility. This chapter provides a comprehensive review and guidelines on a range of finite element (FE) modeling techniques that are currently being used for composite materials including the simulations performed at different length and time scales as well as techniques to incorporate damage initiation and evolution. Capabilities of the most commonly used commercial FE software packages are discussed and current trends and latest developments in the field are presented.","Commercial FE codes,Continuum damage mechanics,Damage and failure modes,Discrete and continuum models,Finite element analysis (FEA),Multiscale modeling,Simulation","JohannesReiner,RezaVaziri","Comprehensive Composite Materials II","https://doi.org/10.1016/B978-0-12-803581-8.10050-5","https://www.sciencedirect.com/science/article/pii/B9780128035818100505"
"A24","Full Issue PDF","","","","Journal of the American College of Cardiology","https://doi.org/10.1016/j.jacc.2017.04.005","https://www.sciencedirect.com/science/article/pii/S0735109717369097"
"A25","7.14 Acoustic Emission Analysis","This chapter introduces the use of acoustic emission (AE) methods to detect the occurrence of damage in composite materials during loading. The description and modeling of typical source mechanisms, such as cracks of various types and friction are provided. The AE source radiation pattern and the depth through the thickness are discussed in their impact on signal bandwidth and intensity. Wave propagation aspects, such as the composite layup, the velocity directional differences, guided wave modes, attenuation, and propagation are presented. The importance of sensor types is summarized in their relevance to AE signal analysis. This chapter also covers interpretation of classical AE features, artificial intelligence/pattern recognition methods, source localization, and special concepts, such as the use of the Felicity-ratio. Typical areas for use of AE in application to coupon laboratory samples in uniaxial loading and structures with multiaxial loading are given. Also, two detailed examples are provided that illustrate the progressive extraction of the following key information from the AE data: (1) onset of damage as a function of stress/time; (2) amount damage that was developed; (3) position/location of the damage within the item under test; and (4) the types of damage that were detected. More than 200 references to early and recent use of AE for composites are provided.","Acoustic emission (AE),Acoustic emission source identification,Acoustic emission source localization,Acoustic emission source radiation patterns,Acoustic emission source types,Artificial neural nets (ANN),Attenuation,Composite materials nondestructive testing (NDT),Finite element modeling (FEM),Group velocities,Guided waves,Localization of damage,Pattern recognition,Structural health monitoring,Time/frequency analysis,Wave propagation","MarkusSause,MarvinHamstad","Comprehensive Composite Materials II","https://doi.org/10.1016/B978-0-12-803581-8.10036-0","https://www.sciencedirect.com/science/article/pii/B9780128035818100360"
"A26","An efficient methodology for the experimental characterization of mode II delamination growth under fatigue loading","Crack growth rate curves provide information about the delamination resistance of composite materials under cyclic loading. The existing methodologies for mode II fatigue testing using three-point bending end-notched flexure (3-ENF) under constant cyclic displacement conditions yield discontinuous delamination growth rate curves, therefore requiring a batch of several specimens to be tested under different severity conditions in order to fully characterize the crack growth. This work describes a variable cyclic displacement test procedure that, in combination with the real time monitoring of the specimen’s compliance, allows the crack growth rate to be measured for the desired range of severities with a single specimen, thus avoiding any human intervention during the test.","Mode II,Delamination,Testing method,Fatigue,3-ENF,Composites","L.Carrerasa,J.Renarta,A.Turona,J.Costaa,Y.Essab,F.Martin de la Escalerab","International Journal of Fatigue","https://doi.org/10.1016/j.ijfatigue.2016.10.017","https://www.sciencedirect.com/science/article/pii/S0142112316303383"
"A27","Delamination analysis in composite laminates by means of Acoustic Emission and bi-linear/tri-linear Cohesive Zone Modeling","The structural integrity of composite structures depends on the use of appropriate damage detection and structural health monitoring methods in design and operation stages. In this paper, the initiation and propagation of delamination in laminated composite materials are investigated by performing Double Cantilever Beams (DCBs) tests. Acoustic Emissions (AEs) are used to characterize the delamination crack tip during DCB tests. For this purpose, a combination of AE signal localizations and scattering reduction procedure is implemented to determine the delamination tip position. Besides, bi-linear and tri-linear Cohesive Zone Models (CZMs) are implemented to investigate the initiation and propagation of delamination. The results show that the tri-linear CZM can accurately determine both the initiation and propagation of delamination in the existence of fiber bridging while bi-linear CZM fails to do so. It is also found that AE is a powerful approach in determining the position of the delamination crack tip.","Delamination,Acoustic Emission,Cohesive Zone Modeling,Laminated composite","MiladSaeedifara,MehdiAhmadi Najafabadia,JalalYousefiab,RezaMohammadia,HosseinHosseini Toudeshkyc,GiangiacomoMinakb","Composite Structures","https://doi.org/10.1016/j.compstruct.2016.11.020","https://www.sciencedirect.com/science/article/pii/S0263822316312661"
"A28","Cohesive zone and level set method for simulation of high cycle fatigue delamination in composite materials","This paper deals with high cycle fatigue delamination in composite materials. The cohesive zone approach along with the level set method is used to simulate fatigue-driven delamination growth. The cohesive zone method is used for calculation of the energy release rate at the crack front because of its superiority over the virtual crack closure technique (VCCT) for bi-material interfaces and non self-similar crack growth. Evolution of the crack front in 3D during fatigue growth is handled with the level set method. The damage variable in the cohesive zone formulation is changed according to the updated level set field. Benchmarks are used to evaluate the performance of the proposed approach in simulation of 3D delamination growth under fatigue loading.","Cohesive zone method,Level set method,Fatigue,Delamination,Fracture mechanics","AhmadAmiri-Rada,MohammadMashayekhia,Frans P.van der Meerb","Composite Structures","https://doi.org/10.1016/j.compstruct.2016.10.041","https://www.sciencedirect.com/science/article/pii/S026382231631025X"
"A29","4: Wrought Aluminium Alloys","Approximately 70% of aluminum produced globally is cast and fabricated into wrought alloy products by processes that are briefly described. These alloys are divided into two groups depending on whether or not they respond to heat treatment. The mechanical properties of the non-heat-treatable alloys are controlled by work hardening and annealing, whereas the heat-treatable groups are strengthened by age hardening. Temper designations are listed and described. Compositions and tensile properties of many of the commercial alloys are summarized in tables and their individual characteristics are discussed in some detail. Joining processes involving arc welding, friction stir welding, laser welding, brazing, diffusion bonding, and soldering are described. Attention is then directed to the commercial applications of the wrought aluminum alloys in the aerospace, automotive, shipping, packaging, and building industries. Reference is also made to lighter weight lithium-containing alloys that are finding structural applications in modern aircraft. Other more specialized topics include powder metallurgy products, aluminum alloy bearings, superplastic alloys, and aluminum-ion storage batteries.","Alloy compositions,work hardening,precipitation,age hardening,temper designations,thermomechanical processing,mechanical properties,joining,commercial applications,specialized products","IanPolmear,DavidStJohn,Jian-FengNie,MaQian","Light Alloys,Light Alloys (Fifth Edition)","https://doi.org/10.1016/B978-0-08-099431-4.00004-X","https://www.sciencedirect.com/science/article/pii/B978008099431400004X"
"A30","Numerical simulation of the effect of stitching on the delamination resistance of laminated composites subjected to low-velocity impact","The paper illustrates the use of Finite Element (FE) analyses for the simulation of the effect of through-thickness stitching on the structural and damage response of composite laminates subjected to low-velocity impact. An FE model based on the use of progressive damage schemes for modelling intralaminar and interlaminar damage and accounting for the bridging action of stitching threads was developed in the study. Individual stitches were modelled by solid elements inserted along the thickness of the laminate and connected to the adjacent layer elements through cohesive interface elements. The predictions of the model were assessed by comparison with experimental data obtained by drop-weight impact tests on [03/903]S and [0/90]3S carbon/epoxy laminates. The numerical results were found to be in good agreement with the experimental observations in terms of force histories, force-deflection curves and internal damage induced by impact. In particular, the proposed model was able to correctly predict the effect of stitching on the damage response of the laminates at different impact energies and to capture the influence of the layup on the efficiency of stitching for improving the delamination resistance of the laminated samples.","Impact,Composite laminates,Stitching,Damage,Finite Element analysis","L.Francesconi,F.Aymerich","Composite Structures","https://doi.org/10.1016/j.compstruct.2016.09.050","https://www.sciencedirect.com/science/article/pii/S0263822316311515"
